experiment_id,condition,seed,git_commit,dataset,split,config_source,checkpoint,status,primary_metric,primary_value,secondary_metrics,best_epoch,final_epoch,runtime,warnings,source_artifact
exp_20260915_001_mdmt_mia_c6_pre_service_semantic_suppression,pair_23__FIFO_strong,unknown,905be37df4de1a5ad10d2758739eff21caca4ebe,MDMT/MIA pair P23,train,"summary_md/communication/c6_formal_authorization/C6_FORMAL_AUTHORIZATION.json; /mnt/data/yzm/experiments/mdmt_mia_official/run_configs/one_carafe_bytetrack_full_mdmt_reproduction.py",/mnt/data/yzm/datasets/Multi-Drone-Multi-Object-Detection-and-Tracking/checkpoints/work_dirsfaster_rcnn_r50_fpn_carafe_1x_full_mdmt/epoch_12.pth,VALID,B_avoided,7299121,"{""delta_serviceable_id_state_serviced_bytes"":-3221174,""treatment_serviceable_id_state_serviced_bytes"":0,""baseline_serviceable_id_state_serviced_bytes"":3221174,""suppressed_first_service_decisions"":2097,""total_first_service_decisions"":2097}",NA,NA,1459.490599 sec,"All 2097 treatment first-service decisions suppressed; 1021 suppressed decisions have an empty packet_reason_flags list; single deterministic run",summary_md/communication/c6_formal/_formal_runs/attempt4/C6_FORMAL_AGGREGATION.json
exp_20260915_001_mdmt_mia_c6_pre_service_semantic_suppression,pair_23__FIFO_mild,unknown,905be37df4de1a5ad10d2758739eff21caca4ebe,MDMT/MIA pair P23,train,"summary_md/communication/c6_formal_authorization/C6_FORMAL_AUTHORIZATION.json; /mnt/data/yzm/experiments/mdmt_mia_official/run_configs/one_carafe_bytetrack_full_mdmt_reproduction.py",/mnt/data/yzm/datasets/Multi-Drone-Multi-Object-Detection-and-Tracking/checkpoints/work_dirsfaster_rcnn_r50_fpn_carafe_1x_full_mdmt/epoch_12.pth,VALID,B_avoided,7299121,"{""delta_serviceable_id_state_serviced_bytes"":0,""treatment_serviceable_id_state_serviced_bytes"":0,""baseline_serviceable_id_state_serviced_bytes"":0,""suppressed_first_service_decisions"":2097,""total_first_service_decisions"":2097}",NA,NA,1424.206053 sec,"All 2097 treatment first-service decisions suppressed; 1021 suppressed decisions have an empty packet_reason_flags list; single deterministic run",summary_md/communication/c6_formal/_formal_runs/attempt4/C6_FORMAL_AGGREGATION.json
exp_20260915_001_mdmt_mia_c6_pre_service_semantic_suppression,pair_44__FIFO_moderate,unknown,905be37df4de1a5ad10d2758739eff21caca4ebe,MDMT/MIA pair P44,train,"summary_md/communication/c6_formal_authorization/C6_FORMAL_AUTHORIZATION.json; /mnt/data/yzm/experiments/mdmt_mia_official/run_configs/one_carafe_bytetrack_full_mdmt_reproduction.py",/mnt/data/yzm/datasets/Multi-Drone-Multi-Object-Detection-and-Tracking/checkpoints/work_dirsfaster_rcnn_r50_fpn_carafe_1x_full_mdmt/epoch_12.pth,VALID,B_avoided,5619894,"{""delta_serviceable_id_state_serviced_bytes"":-5533432,""treatment_serviceable_id_state_serviced_bytes"":0,""baseline_serviceable_id_state_serviced_bytes"":5533432,""suppressed_first_service_decisions"":1077,""total_first_service_decisions"":1077}",NA,NA,155.631599 sec,"All 1077 treatment first-service decisions suppressed; B_avoided exceeds the frozen C5 opportunity reference; 240 suppressed decisions have an empty packet_reason_flags list; single deterministic run",summary_md/communication/c6_formal/_formal_runs/attempt4/C6_FORMAL_AGGREGATION.json
exp_20260915_001_mdmt_mia_c6_pre_service_semantic_suppression,pair_66__FIFO_mild,unknown,905be37df4de1a5ad10d2758739eff21caca4ebe,MDMT/MIA pair P66,train,"summary_md/communication/c6_formal_authorization/C6_FORMAL_AUTHORIZATION.json; /mnt/data/yzm/experiments/mdmt_mia_official/run_configs/one_carafe_bytetrack_full_mdmt_reproduction.py",/mnt/data/yzm/datasets/Multi-Drone-Multi-Object-Detection-and-Tracking/checkpoints/work_dirsfaster_rcnn_r50_fpn_carafe_1x_full_mdmt/epoch_12.pth,VALID,B_avoided,5784574,"{""delta_serviceable_id_state_serviced_bytes"":-5543264,""treatment_serviceable_id_state_serviced_bytes"":0,""baseline_serviceable_id_state_serviced_bytes"":5543264,""suppressed_first_service_decisions"":897,""total_first_service_decisions"":897}",NA,NA,141.402291 sec,"All 897 treatment first-service decisions suppressed; B_avoided exceeds the frozen C5 opportunity reference; 305 suppressed decisions have an empty packet_reason_flags list; single deterministic run",summary_md/communication/c6_formal/_formal_runs/attempt4/C6_FORMAL_AGGREGATION.json
